index,sending_time,recv_time,inference_time
0,1743815567.536889,1743815567.7935278,0.256638765335083
1,1743815567.536952,1743815567.703376,0.16642403602600098
2,1743815567.5369754,1743815567.760376,0.22340059280395508
3,1743815567.5369945,1743815567.6489515,0.11195707321166992
4,1743815567.5370119,1743815567.7318017,0.19478988647460938
5,1743815567.537037,1743815567.6198144,0.08277750015258789
6,1743815567.5370505,1743815567.5919516,0.054901123046875
7,1743815567.5370753,1743815567.6760125,0.13893723487854004
8,1743815567.5370903,1743815567.8254156,0.28832530975341797
9,1743815567.5371056,1743815567.8531296,0.3160240650177002
10,1743815567.591985,1743815567.8786192,0.2866342067718506
11,1743815567.619833,1743815567.9047287,0.284895658493042
12,1743815567.6489754,1743815567.931243,0.28226757049560547
13,1743815567.6760335,1743815567.956182,0.2801485061645508
14,1743815567.703407,1743815567.9822779,0.2788708209991455
15,1743815567.7318254,1743815568.0083668,0.27654147148132324
16,1743815567.760404,1743815568.0338387,0.2734346389770508
17,1743815567.7935512,1743815568.0598044,0.2662532329559326
18,1743815567.8254378,1743815568.0852227,0.2597849369049072
19,1743815567.8532717,1743815568.1102462,0.256974458694458
20,1743815567.8786964,1743815568.1347609,0.25606441497802734
21,1743815567.9048052,1743815568.1601999,0.25539469718933105
22,1743815567.931317,1743815568.1851423,0.25382518768310547
23,1743815567.9562554,1743815568.210491,0.25423550605773926
24,1743815567.982353,1743815568.2356963,0.2533433437347412
25,1743815568.0084422,1743815568.261173,0.2527308464050293
26,1743815568.033915,1743815568.286421,0.2525060176849365
27,1743815568.0599654,1743815568.3117514,0.2517859935760498
28,1743815568.0853143,1743815568.3367972,0.2514829635620117
29,1743815568.1103392,1743815568.362056,0.25171685218811035
30,1743815568.1347902,1743815568.3871157,0.25232553482055664
31,1743815568.1602228,1743815568.4121504,0.25192761421203613
32,1743815568.185163,1743815568.4373386,0.25217556953430176
33,1743815568.2105165,1743815568.462512,0.2519955635070801
34,1743815568.2357194,1743815568.4876788,0.25195932388305664
35,1743815568.2612076,1743815568.5126321,0.25142455101013184
36,1743815568.286456,1743815568.5378795,0.25142335891723633
37,1743815568.3117807,1743815568.5637074,0.2519266605377197
38,1743815568.3368242,1743815568.5888195,0.251995325088501
39,1743815568.3620818,1743815568.61408,0.2519981861114502
40,1743815568.3871427,1743815568.63997,0.25282740592956543
41,1743815568.4121757,1743815568.6646638,0.2524881362915039
42,1743815568.4373693,1743815568.6897566,0.25238728523254395
43,1743815568.4625359,1743815568.714981,0.2524452209472656
44,1743815568.48772,1743815568.7402792,0.25255918502807617
45,1743815568.512655,1743815568.765759,0.25310397148132324
46,1743815568.5379028,1743815568.7901754,0.2522726058959961
47,1743815568.5637312,1743815568.8156838,0.2519526481628418
48,1743815568.5888429,1743815568.8413334,0.2524905204772949
49,1743815568.6141036,1743815568.8663256,0.25222206115722656
50,1743815568.6400504,1743815568.8913553,0.25130486488342285
51,1743815568.6646924,1743815568.9165425,0.2518501281738281
52,1743815568.6898246,1743815568.941702,0.2518773078918457
53,1743815568.7150388,1743815568.9668484,0.25180959701538086
54,1743815568.7403374,1743815568.9922059,0.25186848640441895
55,1743815568.7658515,1743815569.0171869,0.25133538246154785
56,1743815568.7902389,1743815569.0427227,0.2524838447570801
57,1743815568.8157618,1743815569.067803,0.2520411014556885
58,1743815568.8414073,1743815569.0929587,0.25155138969421387
59,1743815568.866398,1743815569.118113,0.25171494483947754
60,1743815568.891428,1743815569.1432898,0.2518618106842041
61,1743815568.916617,1743815569.1684341,0.2518172264099121
62,1743815568.9417803,1743815569.1932707,0.25149035453796387
63,1743815568.9669242,1743815569.2186935,0.2517693042755127
64,1743815568.9922802,1743815569.2442784,0.2519981861114502
65,1743815569.0173137,1743815569.2693443,0.252030611038208
66,1743815569.0427983,1743815569.2945287,0.25173044204711914
67,1743815569.067898,1743815569.3198833,0.2519853115081787
68,1743815569.0930355,1743815569.3447816,0.25174617767333984
69,1743815569.118175,1743815569.3699446,0.2517695426940918
70,1743815569.1433198,1743815569.3965461,0.25322628021240234
71,1743815569.1684613,1743815569.422022,0.25356078147888184
72,1743815569.193297,1743815569.4472237,0.25392675399780273
73,1743815569.2187207,1743815569.4741614,0.25544071197509766
74,1743815569.244305,1743815569.4972606,0.25295567512512207
75,1743815569.269372,1743815569.5228765,0.25350451469421387
76,1743815569.294555,1743815569.547701,0.2531459331512451
77,1743815569.3199124,1743815569.5727296,0.25281715393066406
78,1743815569.3448513,1743815569.598215,0.25336384773254395
79,1743815569.369979,1743815569.6233997,0.2534208297729492
80,1743815569.3966248,1743815569.648495,0.25187015533447266
81,1743815569.422099,1743815569.6735895,0.25149035453796387
82,1743815569.447355,1743815569.6991765,0.25182151794433594
83,1743815569.4742594,1743815569.724254,0.24999451637268066
84,1743815569.4973369,1743815569.7499156,0.2525787353515625
85,1743815569.5229998,1743815569.7749655,0.2519657611846924
86,1743815569.5477407,1743815569.8004053,0.25266456604003906
87,1743815569.5727654,1743815569.8257542,0.2529888153076172
88,1743815569.5982516,1743815569.8507922,0.25254058837890625
89,1743815569.6234336,1743815569.876075,0.2526414394378662
90,1743815569.6485286,1743815569.9013855,0.252856969833374
91,1743815569.673609,1743815569.9265544,0.2529454231262207
92,1743815569.6992092,1743815569.9517758,0.2525665760040283
93,1743815569.724288,1743815569.9768589,0.25257086753845215
94,1743815569.7499943,1743815570.0027194,0.25272512435913086
95,1743815569.7750993,1743815570.0279233,0.252824068069458
96,1743815569.8004994,1743815570.0531957,0.25269627571105957
