index,sending_time,recv_time,inference_time
0,1743783364.3055537,1743783364.3424628,0.03690910339355469
1,1743783364.3424637,1743783364.354791,0.012327194213867188
2,1743783364.3547919,1743783364.366722,0.011930227279663086
3,1743783364.3667228,1743783364.378644,0.011921167373657227
4,1743783364.378645,1743783364.3907971,0.01215219497680664
5,1743783364.3907979,1743783364.4026175,0.011819601058959961
6,1743783364.4026182,1743783364.4148452,0.012227058410644531
7,1743783364.414846,1743783364.4268017,0.011955738067626953
8,1743783364.4268024,1743783364.4393284,0.01252603530883789
9,1743783364.4393299,1743783364.4519382,0.01260828971862793
10,1743783364.4519389,1743783364.463813,0.011874198913574219
11,1743783364.4638143,1743783364.4758008,0.011986494064331055
12,1743783364.4758022,1743783364.4879422,0.012140035629272461
13,1743783364.4879432,1743783364.4998796,0.011936426162719727
14,1743783364.4998808,1743783364.5119143,0.012033462524414062
15,1743783364.511915,1743783364.5242815,0.012366533279418945
16,1743783364.5242841,1743783364.539953,0.015668869018554688
17,1743783364.5399563,1743783364.5564222,0.01646590232849121
18,1743783364.5564246,1743783364.5732858,0.0168612003326416
19,1743783364.5732887,1743783364.5896218,0.01633310317993164
20,1743783364.5896246,1743783364.6060655,0.016440868377685547
21,1743783364.6060688,1743783364.6225436,0.01647472381591797
22,1743783364.6225464,1743783364.639276,0.01672959327697754
23,1743783364.639279,1743783364.6559474,0.01666855812072754
24,1743783364.6559505,1743783364.672682,0.01673150062561035
25,1743783364.6726856,1743783364.689586,0.016900300979614258
26,1743783364.6895885,1743783364.7095084,0.019919872283935547
27,1743783364.7095108,1743783364.7299616,0.020450830459594727
28,1743783364.7299645,1743783364.7504282,0.02046370506286621
29,1743783364.7504308,1743783364.7707343,0.02030348777770996
30,1743783364.770737,1743783364.7909648,0.020227909088134766
31,1743783364.7909675,1743783364.8111103,0.020142793655395508
32,1743783364.8111126,1743783364.8318465,0.02073383331298828
33,1743783364.8318489,1743783364.851723,0.019874095916748047
34,1743783364.8517256,1743783364.8631616,0.011435985565185547
35,1743783364.8631632,1743783364.874129,0.010965824127197266
36,1743783364.8741307,1743783364.8853927,0.011261940002441406
37,1743783364.8853936,1743783364.8972394,0.011845827102661133
38,1743783364.8972409,1743783364.9094465,0.01220560073852539
39,1743783364.9094477,1743783364.9208212,0.011373519897460938
40,1743783364.9208224,1743783364.9319744,0.011152029037475586
41,1743783364.9319758,1743783364.9442182,0.012242317199707031
42,1743783364.944219,1743783364.95749,0.013270854949951172
43,1743783364.9574907,1743783364.971755,0.014264345169067383
44,1743783364.9717557,1743783364.9866793,0.014923572540283203
45,1743783364.98668,1743783365.0024538,0.015773773193359375
46,1743783365.0024571,1743783365.0152562,0.01279902458190918
47,1743783365.015259,1743783365.0275326,0.012273550033569336
48,1743783365.0275357,1743783365.0395443,0.0120086669921875
49,1743783365.0395477,1743783365.0516665,0.012118816375732422
50,1743783365.051672,1743783365.0649502,0.01327824592590332
51,1743783365.064954,1743783365.0768602,0.011906147003173828
52,1743783365.0768638,1743783365.0888937,0.012029886245727539
53,1743783365.0888984,1743783365.100834,0.01193547248840332
54,1743783365.1008375,1743783365.1124625,0.011625051498413086
55,1743783365.1124659,1743783365.1243713,0.011905431747436523
56,1743783365.124375,1743783365.137739,0.013363838195800781
57,1743783365.137743,1743783365.1522534,0.014510393142700195
58,1743783365.152257,1743783365.1692765,0.01701951026916504
59,1743783365.16928,1743783365.188024,0.01874399185180664
60,1743783365.1880283,1743783365.20834,0.020311594009399414
61,1743783365.2083435,1743783365.2296455,0.021301984786987305
62,1743783365.229649,1743783365.2514148,0.021765708923339844
63,1743783365.2514179,1743783365.2729433,0.02152538299560547
64,1743783365.2729468,1743783365.294531,0.021584272384643555
65,1743783365.294536,1743783365.3086216,0.014085531234741211
66,1743783365.3086236,1743783365.3205025,0.01187896728515625
67,1743783365.3205059,1743783365.3338988,0.013392925262451172
68,1743783365.3339021,1743783365.3491964,0.015294313430786133
69,1743783365.3492012,1743783365.3655486,0.016347408294677734
70,1743783365.365552,1743783365.3831182,0.017566204071044922
71,1743783365.383121,1743783365.4010835,0.01796245574951172
72,1743783365.401086,1743783365.419438,0.01835179328918457
73,1743783365.4194403,1743783365.437803,0.018362760543823242
74,1743783365.4378057,1743783365.455679,0.017873287200927734
75,1743783365.455681,1743783365.473327,0.017645835876464844
76,1743783365.4733286,1743783365.4910634,0.017734766006469727
77,1743783365.4910657,1743783365.5020351,0.010969400405883789
78,1743783365.502037,1743783365.5134537,0.01141667366027832
79,1743783365.5134554,1743783365.525425,0.011969566345214844
80,1743783365.5254261,1743783365.5395472,0.014121055603027344
81,1743783365.5395484,1743783365.5546198,0.015071392059326172
82,1743783365.5546215,1743783365.5717275,0.017106056213378906
83,1743783365.5717294,1743783365.5897396,0.01801013946533203
84,1743783365.589741,1743783365.6073472,0.017606258392333984
85,1743783365.607349,1743783365.6248548,0.017505884170532227
86,1743783365.6248562,1743783365.6435874,0.018731117248535156
87,1743783365.6435926,1743783365.6615784,0.017985820770263672
88,1743783365.6615822,1743783365.6799464,0.01836419105529785
89,1743783365.6799498,1743783365.694362,0.014412164688110352
90,1743783365.6943655,1743783365.7067175,0.01235198974609375
91,1743783365.7067213,1743783365.720501,0.013779640197753906
92,1743783365.7205045,1743783365.7355738,0.015069246292114258
93,1743783365.7355814,1743783365.7512214,0.0156400203704834
94,1743783365.7512248,1743783365.7667863,0.015561580657958984
95,1743783365.7667897,1743783365.7828321,0.016042470932006836
96,1743783365.782836,1743783365.802111,0.01927495002746582
