index,sending_time,recv_time,inference_time
0,1744096761.0482366,1744096761.1205776,0.0723409652709961
1,1744096761.0483878,1744096761.1260586,0.07767081260681152
2,1744096761.048506,1744096761.116958,0.0684518814086914
3,1744096761.0486133,1744096761.120973,0.07235980033874512
4,1744096761.0487225,1744096761.118706,0.06998348236083984
5,1744096761.0488281,1744096761.119181,0.07035279273986816
6,1744096761.0489326,1744096761.1236446,0.07471203804016113
7,1744096761.0490365,1744096761.1241512,0.07511472702026367
8,1744096761.0491412,1744096761.117923,0.06878185272216797
9,1744096761.0492444,1744096761.120948,0.07170367240905762
10,1744096761.0493498,1744096761.1575847,0.10823488235473633
11,1744096761.0494573,1744096761.153302,0.10384464263916016
12,1744096761.049561,1744096761.1559162,0.10635519027709961
13,1744096761.0496697,1744096761.1587303,0.10906052589416504
14,1744096761.0498207,1744096761.1610835,0.11126279830932617
15,1744096761.0499263,1744096761.1614432,0.11151695251464844
16,1744096761.0500295,1744096761.166872,0.11684250831604004
17,1744096761.050134,1744096761.158755,0.10862112045288086
18,1744096761.0502384,1744096761.164501,0.11426258087158203
19,1744096761.0503428,1744096761.1614668,0.11112403869628906
20,1744096761.0504498,1744096761.1911798,0.1407299041748047
21,1744096761.0505567,1744096761.1906905,0.14013385772705078
22,1744096761.050662,1744096761.2039976,0.1533355712890625
23,1744096761.0507672,1744096761.1940608,0.1432936191558838
24,1744096761.0508716,1744096761.192836,0.14196443557739258
25,1744096761.0509865,1744096761.1995463,0.1485598087310791
26,1744096761.0511045,1744096761.199284,0.1481795310974121
27,1744096761.0512087,1744096761.1974185,0.146209716796875
28,1744096761.051316,1744096761.1954188,0.1441028118133545
29,1744096761.0514216,1744096761.1970947,0.14567303657531738
30,1744096761.1169858,1744096761.2328384,0.11585259437561035
31,1744096761.1179407,1744096761.230292,0.1123514175415039
32,1744096761.1187239,1744096761.2252192,0.10649538040161133
33,1744096761.1191986,1744096761.2278192,0.10862064361572266
34,1744096761.1205957,1744096761.2272274,0.10663175582885742
35,1744096761.1209872,1744096761.228422,0.10743474960327148
36,1744096761.1210444,1744096761.2375767,0.1165323257446289
37,1744096761.1236622,1744096761.2414682,0.11780595779418945
38,1744096761.1241841,1744096761.230647,0.10646295547485352
39,1744096761.126076,1744096761.2457492,0.11967325210571289
40,1744096761.1533294,1744096761.2604654,0.10713601112365723
41,1744096761.1559532,1744096761.2572765,0.10132336616516113
42,1744096761.1576054,1744096761.263694,0.10608863830566406
43,1744096761.1587703,1744096761.2613223,0.10255193710327148
44,1744096761.1588547,1744096761.265931,0.10707616806030273
45,1744096761.1611028,1744096761.263145,0.10204219818115234
46,1744096761.1614866,1744096761.2729795,0.11149287223815918
47,1744096761.1615574,1744096761.275417,0.11385965347290039
48,1744096761.1645203,1744096761.279872,0.11535167694091797
49,1744096761.1669016,1744096761.2853174,0.11841583251953125
50,1744096761.19072,1744096761.294906,0.10418581962585449
51,1744096761.1912017,1744096761.2906544,0.09945273399353027
52,1744096761.192857,1744096761.2902381,0.0973811149597168
53,1744096761.1941004,1744096761.2934575,0.09935712814331055
54,1744096761.1954381,1744096761.300372,0.1049337387084961
55,1744096761.19711,1744096761.3051457,0.10803580284118652
56,1744096761.1974325,1744096761.308572,0.11113953590393066
57,1744096761.1992993,1744096761.3121703,0.11287093162536621
58,1744096761.199562,1744096761.3173447,0.1177825927734375
59,1744096761.2040133,1744096761.3224306,0.11841726303100586
60,1744096761.225261,1744096761.3266306,0.10136961936950684
61,1744096761.2272513,1744096761.32139,0.09413862228393555
62,1744096761.2278392,1744096761.3244011,0.09656190872192383
63,1744096761.228442,1744096761.33367,0.10522794723510742
64,1744096761.230314,1744096761.3399436,0.10962963104248047
65,1744096761.2306628,1744096761.339571,0.10890817642211914
66,1744096761.2328835,1744096761.3475735,0.11469006538391113
67,1744096761.2376058,1744096761.359976,0.12237024307250977
68,1744096761.2415009,1744096761.3527844,0.11128354072570801
69,1744096761.2457833,1744096761.3570502,0.1112668514251709
70,1744096761.2573144,1744096761.3574572,0.1001427173614502
71,1744096761.260489,1744096761.3543804,0.09389138221740723
72,1744096761.2613425,1744096761.3624628,0.1011202335357666
73,1744096761.263166,1744096761.36718,0.10401415824890137
74,1744096761.263713,1744096761.3761356,0.11242270469665527
75,1744096761.2659516,1744096761.3809762,0.11502456665039062
76,1744096761.2730029,1744096761.3815188,0.10851597785949707
77,1744096761.2754366,1744096761.389046,0.11360931396484375
78,1744096761.2798922,1744096761.3866818,0.10678958892822266
79,1744096761.285339,1744096761.3927917,0.1074526309967041
80,1744096761.290267,1744096761.396121,0.10585403442382812
81,1744096761.2906733,1744096761.4001765,0.10950326919555664
82,1744096761.2934864,1744096761.3961005,0.10261416435241699
83,1744096761.2949245,1744096761.404847,0.10992240905761719
84,1744096761.3003912,1744096761.4105644,0.11017322540283203
85,1744096761.3051732,1744096761.4205728,0.11539959907531738
86,1744096761.3085928,1744096761.4158351,0.10724234580993652
87,1744096761.3121889,1744096761.4235678,0.11137890815734863
88,1744096761.317365,1744096761.426232,0.10886716842651367
89,1744096761.3214133,1744096761.4288466,0.10743331909179688
90,1744096761.3224528,1744096761.4392328,0.11678004264831543
91,1744096761.3244224,1744096761.4425154,0.11809301376342773
92,1744096761.3266513,1744096761.4357016,0.10905027389526367
93,1744096761.3337047,1744096761.444847,0.11114239692687988
94,1744096761.3395975,1744096761.442158,0.10256052017211914
95,1744096761.3399649,1744096761.461602,0.12163710594177246
96,1744096761.3475926,1744096761.4595904,0.11199784278869629
