index,sending_time,recv_time,inference_time
0,1744470607.9597645,1744470607.9933407,0.033576250076293945
1,1744470607.9701574,1744470608.001366,0.031208515167236328
2,1744470607.9805586,1744470608.0093207,0.028762102127075195
3,1744470607.9909308,1744470608.0189612,0.0280303955078125
4,1744470608.001389,1744470608.027905,0.026515960693359375
5,1744470608.0115242,1744470608.0355468,0.024022579193115234
6,1744470608.0221097,1744470608.0428863,0.02077651023864746
7,1744470608.0330796,1744470608.0511367,0.01805710792541504
8,1744470608.0440779,1744470608.058836,0.014758110046386719
9,1744470608.054296,1744470608.0667014,0.0124053955078125
10,1744470608.065066,1744470608.0774598,0.012393712997436523
11,1744470608.0769796,1744470608.0897827,0.012803077697753906
12,1744470608.0877914,1744470608.1014295,0.013638019561767578
13,1744470608.0981922,1744470608.1124218,0.014229536056518555
14,1744470608.1089087,1744470608.122085,0.013176441192626953
15,1744470608.1199048,1744470608.1331506,0.013245820999145508
16,1744470608.1306727,1744470608.1444042,0.01373147964477539
17,1744470608.1415389,1744470608.154509,0.012970209121704102
18,1744470608.1527662,1744470608.1661098,0.013343572616577148
19,1744470608.1649628,1744470608.1779184,0.012955665588378906
20,1744470608.1767654,1744470608.189748,0.012982606887817383
21,1744470608.18843,1744470608.2025845,0.014154434204101562
22,1744470608.2002542,1744470608.216333,0.016078710556030273
23,1744470608.2110324,1744470608.227548,0.016515493392944336
24,1744470608.2218776,1744470608.2361517,0.014274120330810547
25,1744470608.2331395,1744470608.2466981,0.013558626174926758
26,1744470608.2436569,1744470608.2573664,0.013709545135498047
27,1744470608.2542062,1744470608.2672715,0.013065338134765625
28,1744470608.2648585,1744470608.2784884,0.013629913330078125
29,1744470608.2758718,1744470608.288714,0.012842178344726562
30,1744470608.286944,1744470608.299861,0.012917041778564453
31,1744470608.2991483,1744470608.3117633,0.012614965438842773
32,1744470608.3102233,1744470608.3240027,0.013779401779174805
33,1744470608.322058,1744470608.3344831,0.01242518424987793
34,1744470608.3322635,1744470608.344722,0.012458562850952148
35,1744470608.342742,1744470608.3551068,0.012364864349365234
36,1744470608.3529813,1744470608.365647,0.012665748596191406
37,1744470608.363383,1744470608.375708,0.012325048446655273
38,1744470608.3739133,1744470608.3863566,0.012443304061889648
39,1744470608.3859565,1744470608.3974936,0.01153707504272461
40,1744470608.3965945,1744470608.4086337,0.0120391845703125
41,1744470608.4078257,1744470608.4208248,0.01299905776977539
42,1744470608.4189122,1744470608.4315534,0.012641191482543945
43,1744470608.431163,1744470608.4431796,0.012016534805297852
44,1744470608.4419148,1744470608.454422,0.012507200241088867
45,1744470608.4534578,1744470608.4669511,0.01349329948425293
46,1744470608.4646914,1744470608.4802368,0.015545368194580078
47,1744470608.4751909,1744470608.4908988,0.015707969665527344
48,1744470608.485439,1744470608.5014343,0.015995264053344727
49,1744470608.4961207,1744470608.5130908,0.016970157623291016
50,1744470608.5066319,1744470608.5239723,0.017340421676635742
51,1744470608.5173092,1744470608.5316281,0.01431894302368164
52,1744470608.5281715,1744470608.5404506,0.012279033660888672
53,1744470608.5388162,1744470608.550474,0.01165771484375
54,1744470608.5504994,1744470608.562232,0.01173257827758789
55,1744470608.560798,1744470608.572678,0.011880159378051758
56,1744470608.572414,1744470608.5838556,0.011441707611083984
57,1744470608.5828805,1744470608.595354,0.012473583221435547
58,1744470608.5942907,1744470608.6067636,0.012472867965698242
59,1744470608.6059167,1744470608.619116,0.013199329376220703
60,1744470608.6170156,1744470608.629571,0.012555360794067383
61,1744470608.6275904,1744470608.6406994,0.013108968734741211
62,1744470608.6381402,1744470608.6509748,0.012834548950195312
63,1744470608.6493165,1744470608.6619546,0.012638092041015625
64,1744470608.661306,1744470608.673252,0.01194620132446289
65,1744470608.6722605,1744470608.6854568,0.013196229934692383
66,1744470608.68355,1744470608.6974275,0.013877630233764648
67,1744470608.6939046,1744470608.7084897,0.014585018157958984
68,1744470608.7048376,1744470608.7188873,0.014049768447875977
69,1744470608.7157302,1744470608.7281024,0.012372255325317383
70,1744470608.7260716,1744470608.7382967,0.012225151062011719
71,1744470608.7362704,1744470608.74917,0.012899637222290039
72,1744470608.7487693,1744470608.7606843,0.011914968490600586
73,1744470608.7594562,1744470608.7716572,0.012201070785522461
74,1744470608.770976,1744470608.7833288,0.012352705001831055
75,1744470608.7819183,1744470608.7941241,0.012205839157104492
76,1744470608.793632,1744470608.8066878,0.013055801391601562
77,1744470608.80438,1744470608.8166425,0.012262582778930664
78,1744470608.8149827,1744470608.8278549,0.01287221908569336
79,1744470608.8268833,1744470608.84011,0.013226747512817383
80,1744470608.838056,1744470608.8508534,0.012797355651855469
81,1744470608.848359,1744470608.8609579,0.012598752975463867
82,1744470608.8590894,1744470608.8716192,0.012529850006103516
83,1744470608.871193,1744470608.8829474,0.011754512786865234
84,1744470608.8818917,1744470608.8938699,0.0119781494140625
85,1744470608.8932571,1744470608.9059782,0.012721061706542969
86,1744470608.904084,1744470608.916707,0.012623071670532227
87,1744470608.916183,1744470608.9288661,0.01268315315246582
88,1744470608.9269087,1744470608.939514,0.01260519027709961
89,1744470608.9390454,1744470608.9537818,0.014736413955688477
90,1744470608.9497106,1744470608.9637425,0.01403188705444336
91,1744470608.960002,1744470608.9724152,0.012413263320922852
92,1744470608.9709804,1744470608.983639,0.01265859603881836
93,1744470608.9826467,1744470608.994726,0.012079238891601562
94,1744470608.9938447,1744470609.0057533,0.011908531188964844
95,1744470609.0049882,1744470609.0168693,0.011881113052368164
96,1744470609.0160055,1744470609.0286958,0.012690305709838867
