index,sending_time,recv_time,inference_time
50,1743770107.9066563,1743770107.9146361,0
51,1743770107.9147353,1743770107.9225779,0
52,1743770107.9226859,1743770107.9305108,0
53,1743770107.9306028,1743770107.938615,0
54,1743770107.9387069,1743770107.9465199,0
55,1743770107.9466102,1743770107.9545043,0
56,1743770107.954594,1743770107.9624648,0
57,1743770107.9625535,1743770107.9704113,0
58,1743770107.9705024,1743770107.9785774,0
59,1743770107.9786808,1743770107.986581,0
60,1743770107.9866824,1743770107.9947662,0
61,1743770107.994864,1743770108.0031059,0
62,1743770108.0032053,1743770108.0111918,0
63,1743770108.0112896,1743770108.0197666,0
64,1743770108.0198884,1743770108.0279224,0
65,1743770108.0279684,1743770108.0353103,0
66,1743770108.035352,1743770108.0429711,0
67,1743770108.0430229,1743770108.050453,0
68,1743770108.0504928,1743770108.0580215,0
69,1743770108.058055,1743770108.0654323,0
70,1743770108.0654628,1743770108.0729582,0
71,1743770108.072987,1743770108.080533,0
72,1743770108.0805612,1743770108.0877726,0
73,1743770108.087799,1743770108.094884,0
74,1743770108.0949101,1743770108.1021087,0
75,1743770108.102135,1743770108.109361,0
76,1743770108.1093857,1743770108.1164744,0
77,1743770108.1164997,1743770108.1237867,0
78,1743770108.1238124,1743770108.1308959,0
79,1743770108.1309218,1743770108.1379957,0
80,1743770108.138022,1743770108.145213,0
81,1743770108.1452427,1743770108.1524134,0
82,1743770108.1524396,1743770108.1600215,0
83,1743770108.1600475,1743770108.1674018,0
84,1743770108.1674278,1743770108.1747375,0
85,1743770108.1747637,1743770108.1820834,0
86,1743770108.1821096,1743770108.189637,0
87,1743770108.1896625,1743770108.1971,0
88,1743770108.197127,1743770108.2047791,0
89,1743770108.2048066,1743770108.21219,0
90,1743770108.2122164,1743770108.2198153,0
91,1743770108.2198415,1743770108.2275138,0
92,1743770108.2275527,1743770108.2352002,0
93,1743770108.2352328,1743770108.242931,0
94,1743770108.24296,1743770108.2507105,0
95,1743770108.2507372,1743770108.2580318,0
96,1743770108.258059,1743770108.2653356,0
97,1743770108.265362,1743770108.2731042,0
98,1743770108.2731323,1743770108.280435,0
99,1743770108.2804606,1743770108.2880647,0
100,1743770108.2880898,1743770108.2956529,0
101,1743770108.2956777,1743770108.3034382,0
102,1743770108.3034868,1743770108.3111193,0
103,1743770108.3111668,1743770108.3187397,0
104,1743770108.318784,1743770108.3261855,0
105,1743770108.3262143,1743770108.3338356,0
106,1743770108.333865,1743770108.3415277,0
107,1743770108.341555,1743770108.3491554,0
108,1743770108.349182,1743770108.3565161,0
109,1743770108.3565452,1743770108.3640678,0
110,1743770108.3641052,1743770108.3716652,0
111,1743770108.3716915,1743770108.378993,0
112,1743770108.3790193,1743770108.3869689,0
113,1743770108.3869977,1743770108.3945754,0
114,1743770108.3945987,1743770108.402219,0
115,1743770108.4022424,1743770108.4098701,0
116,1743770108.4098966,1743770108.4175165,0
117,1743770108.4175422,1743770108.4247441,0
118,1743770108.4247699,1743770108.4322674,0
119,1743770108.432293,1743770108.4398808,0
120,1743770108.4399064,1743770108.4470115,0
121,1743770108.4470365,1743770108.4544935,0
122,1743770108.4545183,1743770108.4618487,0
123,1743770108.461874,1743770108.4693213,0
124,1743770108.469346,1743770108.476841,0
125,1743770108.4768655,1743770108.4841454,0
126,1743770108.4841702,1743770108.4915102,0
127,1743770108.491537,1743770108.499848,0
128,1743770108.4998739,1743770108.5074058,0
129,1743770108.5074334,1743770108.515026,0
130,1743770108.5150535,1743770108.5230331,0
131,1743770108.5230615,1743770108.530775,0
132,1743770108.530805,1743770108.5382774,0
133,1743770108.5383024,1743770108.5458486,0
134,1743770108.5458763,1743770108.5533495,0
135,1743770108.553377,1743770108.5610766,0
136,1743770108.561105,1743770108.568716,0
137,1743770108.5687451,1743770108.576322,0
138,1743770108.5763516,1743770108.5841746,0
139,1743770108.5842037,1743770108.5915232,0
140,1743770108.5915518,1743770108.598909,0
141,1743770108.5989323,1743770108.6071868,0
142,1743770108.6072102,1743770108.614586,0
143,1743770108.6146195,1743770108.622165,0
144,1743770108.6221902,1743770108.6294265,0
145,1743770108.6294537,1743770108.6370442,0
146,1743770108.6370707,1743770108.6449256,0
147,1743770108.6450133,1743770108.653,0
148,1743770108.653076,1743770108.6610384,0
149,1743770108.6611223,1743770108.6691725,0
150,1743770108.6692536,1743770108.6782272,0
151,1743770108.6783638,1743770108.6871707,0
152,1743770108.6873004,1743770108.6957557,0
153,1743770108.69589,1743770108.7037063,0
154,1743770108.703788,1743770108.711549,0
155,1743770108.7116246,1743770108.7191584,0
